model,mean_rmse,std_rmse,mean_mae,mean_mape_percent
trend_plus_month,12.372317093276783,2.0824218353548947,9.469773186386252,14.751996473207237
seasonal_naive,13.928126466968152,3.841996835008046,11.777777777777779,20.021109136960593
holt_winters__0.2_0.05_0.2,14.947443130449903,3.6576651699656746,12.441329354296457,19.596919712075437
holt_winters__0.3_0.1_0.3,16.216578167746412,6.590118554831223,14.475192577213754,23.97876757353905
ridge_lag_1_12,16.33556027789511,2.777752327267667,15.176329743394005,28.150877041671848
holt_winters__0.5_0.1_0.2,29.764521949775343,11.1447202762361,27.031050697585865,46.381236247681095
